LAT;;;;;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667
LON;;;;;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667
ASL;;;;;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000
CITY;;;;;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;sfc
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;0;0;0;0;0;0;0;0;0;0;0;0

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Total cloud cover  [sfc];High cloud cover  [high cld lay];Medium cloud cover  [mid cld lay];Low cloud cover  [low cld lay];Shortwave Radiation - backwards  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [sfc]
2017;07;12;08;00;24.62;52.00;1015.30;0.00;0.00;0.00;0.00;0.00;516.20;0.45;63.43;2.70
2017;07;12;09;00;26.18;50.00;1015.20;0.00;1.00;0.00;0.00;1.00;654.15;0.50;53.13;5.60
2017;07;12;10;00;27.68;47.00;1015.00;0.00;3.00;0.00;0.00;3.00;752.94;0.58;30.96;6.00
2017;07;12;11;00;29.01;45.00;1014.00;0.00;6.00;0.00;0.00;6.00;825.03;0.10;90.00;5.50
2017;07;12;12;00;28.32;53.00;1016.00;0.00;10.00;0.00;0.00;10.00;809.90;0.28;45.00;6.90
2017;07;12;13;00;27.51;51.00;1016.30;0.00;10.00;0.00;0.00;10.00;550.91;1.88;334.80;1.50
2017;07;12;14;00;28.25;46.00;1016.10;0.00;12.00;0.00;0.00;12.00;674.62;2.40;343.07;5.20
2017;07;12;15;00;27.59;49.00;1015.70;0.00;16.00;0.00;0.00;16.00;263.44;1.62;21.80;5.60
2017;07;12;16;00;27.20;49.00;1016.50;0.00;33.00;0.00;0.00;33.00;218.05;2.18;15.95;5.60
2017;07;12;17;00;26.02;57.00;1016.60;0.00;100.00;0.00;0.00;100.00;141.51;1.84;40.60;2.80
2017;07;12;18;00;25.89;55.00;1016.10;0.00;100.00;0.00;0.00;100.00;104.13;3.47;41.50;6.40
2017;07;12;19;00;23.81;60.00;1017.00;0.00;100.00;0.00;0.00;100.00;48.06;3.36;22.75;6.40
2017;07;12;20;00;20.84;67.00;1018.10;0.00;10.00;0.00;0.00;10.00;2.67;2.95;28.30;6.00
2017;07;12;21;00;19.47;68.00;1018.80;0.00;0.00;0.00;0.00;0.00;0.00;2.79;14.53;5.40
2017;07;12;22;00;19.02;68.00;1019.20;0.00;0.00;0.00;0.00;0.00;0.00;2.52;6.84;4.50
2017;07;12;23;00;18.90;68.00;1018.70;0.00;0.00;0.00;0.00;0.00;0.00;2.11;354.56;3.90
2017;07;13;00;00;18.54;68.00;1019.40;0.00;0.00;0.00;0.00;0.00;0.00;2.12;351.87;3.20
2017;07;13;01;00;18.11;71.00;1019.40;0.00;0.00;0.00;0.00;0.00;0.00;1.77;343.61;3.20
2017;07;13;02;00;17.77;72.00;1018.30;0.00;0.00;0.00;0.00;0.00;0.00;1.62;338.20;2.90
2017;07;13;03;00;17.44;74.00;1018.30;0.00;0.00;0.00;0.00;0.00;0.00;1.66;327.26;3.10
2017;07;13;04;00;17.12;75.00;1018.60;0.00;0.00;0.00;0.00;0.00;0.00;1.58;325.30;2.80
